CDSCode,Short_CDS,NCESDist,NCESSchool,County,District,School,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,DOCType,SOCType,EdOpsName,EILName,GSoffered,GSserved,Virtual,Latitude,Longitude,LastUpdate
01611430000000,0000000,0604740,NA,Alameda,Berkeley Unified,NA,2020 Bonar Street,2020 Bonar St.,Berkeley,94702-1793,CA,(510) 644-8764,NA,www.berkeleyschools.net,NA,NA,NA,Unified School District,NA,NA,NA,NA,NA,NA,37.869454,-122.28747,2017-05-09
01611430122689,0122689,0604740,12792,Alameda,Berkeley Unified,REALM Charter Middle,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,(510) 809-9800,NA,www.realmcharterschool.org,2011-08-30,NA,Y,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.867479,-122.29492,2015-06-18
01611430122697,0122697,0604740,12715,Alameda,Berkeley Unified,REALM Charter High,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,(510) 809-9800,NA,www.realmcharterschool.org,2011-08-30,NA,Y,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.867479,-122.29492,2015-06-18
01611430122804,0122804,0604740,12843,Alameda,Berkeley Unified,Berkeley Special Education Preschool,2134 Martin Luther King Junior Way,2134 Martin Luther King Jr. Way,Berkeley,94704-1180,CA,(510) 644-6120,NA,www.berkeley.net,2009-09-02,NA,N,Unified School District,Preschool,Special Education School,Elementary,P,K,N,37.869954,-122.27283,2015-08-17
01611430131078,0131078,0604740,13623,Alameda,Berkeley Unified,Berkeley Adult,1701 San Pablo Avenue,1701 San Pablo Ave.,Berkeley,94702-1709,CA,(510) 644-6130,NA,www.bas.berkeley.net,1980-07-01,NA,N,Unified School District,Adult Education Centers,Traditional,Adult,Adult,NA,N,37.873179,-122.29158,2017-05-09
01611430131177,0131177,0604740,00432,Alameda,Berkeley Unified,Berkeley High,1980 Allston Way,1980 Allston Way,Berkeley,94704-1463,CA,(510) 644-6120,NA,http://bhs.berkeleyschools.net/,1980-07-01,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.868913,-122.2712,2017-05-09
01611430134924,0134924,0604740,11300,Alameda,Berkeley Unified,Berkeley Technology Academy,2701 Martin Luther King Junior Way,2701 Martin Luther King Jr. Way,Berkeley,94704-2165,CA,(510) 644-6159,NA,NA,1980-07-01,NA,N,Unified School District,Continuation High Schools,Continuation School,High School,10-12,9-12,N,37.85974,-122.27171,2017-05-09
01611436056857,6056857,0604740,00443,Alameda,Berkeley Unified,Martin Luther King Middle,1781 Rose Street,1781 Rose St.,Berkeley,94703-1048,CA,(510) 644-6280,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.881113,-122.277,2015-06-18
01611436056865,6056865,0604740,07267,Alameda,Berkeley Unified,Willard Middle,2425 Stuart Street,2425 Stuart St.,Berkeley,94705-1209,CA,(510) 644-6330,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.859666,-122.25862,2015-06-18
01611436090187,6090187,0604740,06865,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,920 Allston Way,920 Allston Way,Berkeley,94710-2389,CA,(510) 644-8812,NA,NA,1997-09-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.865652,-122.29471,2015-06-18
01611436090195,6090195,0604740,06895,Alameda,Berkeley Unified,Cragmont Elementary,830 Regal Road,830 Regal Rd.,Berkeley,94708-1308,CA,(510) 644-8810,NA,NA,1997-09-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.892673,-122.26355,2015-06-18
01611436090211,6090211,0604740,00436,Alameda,Berkeley Unified,Emerson Elementary,2800 Forest Avenue,2800 Forest Ave.,Berkeley,94705-1309,CA,(510) 644-6890,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.86149,-122.25111,2015-06-18
01611436090252,6090252,0604740,00441,Alameda,Berkeley Unified,Jefferson Elementary,1400 Ada Street,1400 Ada St.,Berkeley,94702-1217,CA,(510) 644-6298,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.878921,-122.28521,2017-05-09
01611436090278,6090278,0604740,00445,Alameda,Berkeley Unified,Leconte Elementary,2241 Russell Street,2241 Russell St.,Berkeley,94705-1029,CA,(510) 644-6290,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.857352,-122.26231,2015-06-18
01611436090286,6090286,0604740,00447,Alameda,Berkeley Unified,Malcolm X Elementary,1731 Prince Street,1731 Prince St.,Berkeley,94703-2464,CA,(510) 644-6313,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.8522,-122.27373,2015-06-18
01611436090294,6090294,0604740,00446,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,1500 Derby Street,1500 Derby St.,Berkeley,94703-1817,CA,(510) 644-6360,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.858687,-122.28,2015-06-18
01611436090302,6090302,0604740,00448,Alameda,Berkeley Unified,Oxford Elementary,1130 Oxford Street,1130 Oxford St.,Berkeley,94707-2624,CA,(510) 644-6300,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.887796,-122.26827,2015-06-18
01611436090310,6090310,0604740,00450,Alameda,Berkeley Unified,Thousand Oaks Elementary,840 Colusa Avenue,840 Colusa Ave.,Berkeley,94707-1858,CA,(510) 644-6368,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.893082,-122.2804,2015-06-18
01611436090328,6090328,0604740,00452,Alameda,Berkeley Unified,Washington Elementary,2300 Martin Luther King Junior Way,2300 Martin Luther King Jr. Way,Berkeley,94704-1412,CA,(510) 644-6310,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.866959,-122.27257,2015-08-12
01611436097729,6097729,0604740,00431,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,1645 Milvia Street,1645 Milvia St.,Berkeley,94709-2073,CA,(510) 644-6225,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.876919,-122.27123,2015-06-18
01611436105316,6105316,0604740,08119,Alameda,Berkeley Unified,John Muir Elementary,2955 Claremont Avenue,2955 Claremont Ave.,Berkeley,94705-2449,CA,(510) 644-6410,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.857194,-122.24593,2015-06-18
01611500000000,0000000,0607800,NA,Alameda,Castro Valley Unified,NA,PO Box 2146,PO Box 2146,Castro Valley,94546-0146,CA,(510) 537-3000,1240,www.cv.k12.ca.us,NA,NA,NA,Unified School District,NA,NA,NA,NA,NA,NA,37.707693,-122.07038,2015-06-23
01611500118216,0118216,0607800,12607,Alameda,Castro Valley Unified,Alma Preschool,4400 Alma Avenue,4400 Alma Ave.,Castro Valley,94546-3104,CA,(510) 537-3000,1200,www.cv.k12.ca.us,2008-09-02,NA,N,Unified School District,Preschool,Traditional,Preschool,P,NA,N,37.707693,-122.07038,2015-06-11
01611500130039,0130039,0607800,13206,Alameda,Castro Valley Unified,Castro Valley Adult and Career Education,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 886-1000,NA,www.cvadult.org,1980-07-01,NA,N,Unified School District,Adult Education Centers,Traditional,Adult,Adult,NA,C,37.708006,-122.07118,2017-02-14
01611500130047,0130047,0607800,00750,Alameda,Castro Valley Unified,Roy A. Johnson High,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-3000,1311,NA,1980-07-01,NA,N,Unified School District,Special Education Schools (Public),Special Education School,High School,9-12,NA,N,37.713501,-122.09222,2015-12-19
01611500132225,0132225,0607800,00742,Alameda,Castro Valley Unified,Castro Valley High,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-5910,NA,NA,1980-07-01,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.705184,-122.07847,2015-06-18
01611500133876,0133876,0607800,14010,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,18400 Clifton Way,18400 Clifton Way,Castro Valley,94546-2020,CA,(510) 537-3193,NA,www.cv.k12.ca.us,2016-07-01,NA,N,Unified School District,K-12 Schools (Public),Traditional,High School,K-12,7-12,V,37.713501,-122.09222,2017-03-03
01611500135533,0135533,0607800,00744,Alameda,Castro Valley Unified,Redwood Continuation High,18400 Clifton Way,18400 Clifton Way,Castro Valley,94546-0146,CA,(510) 537-3193,NA,NA,1980-07-01,NA,N,Unified School District,Continuation High Schools,Continuation School,High School,9-12,10-12,C,37.7128,-122.09305,2017-03-08
01611506090351,6090351,0607800,00741,Alameda,Castro Valley Unified,Castro Valley Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546-0146,CA,(510) 537-1919,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.698047,-122.08102,2017-01-18
01611506090369,6090369,0607800,07661,Alameda,Castro Valley Unified,Chabot Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-2342,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.707084,-122.09012,2015-06-18
01611506090385,6090385,0607800,06909,Alameda,Castro Valley Unified,Creekside Middle,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 247-0665,NA,NA,1997-09-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.699926,-122.06124,2015-12-18
01611506090393,6090393,0607800,09342,Alameda,Castro Valley Unified,Independent Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-9558,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.699109,-122.04975,2015-06-18
01611506090401,6090401,0607800,00746,Alameda,Castro Valley Unified,Marshall Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-2431,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.697794,-122.06573,2016-09-13
01611506090419,6090419,0607800,00747,Alameda,Castro Valley Unified,Palomares Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 582-4207,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.695582,-122.0248,2015-06-18
01611506090435,6090435,0607800,00749,Alameda,Castro Valley Unified,Proctor Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-0630,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.716742000000004,-122.07366,2015-06-18
01611506090468,6090468,0607800,09525,Alameda,Castro Valley Unified,Stanton Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 727-9192,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.699908,-122.09352,2015-12-18
01611506090484,6090484,0607800,00752,Alameda,Castro Valley Unified,Vannoy Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546-0146,CA,(510) 537-1832,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.706636,-122.05868,2015-06-18
01611506097653,6097653,0607800,00740,Alameda,Castro Valley Unified,Canyon Middle,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 538-8833,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.705772,-122.05426,2015-06-18
01611506113005,6113005,0607800,04339,Alameda,Castro Valley Unified,Jensen Ranch Elementary,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-6365,NA,NA,1995-09-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.713125,-122.03122,2015-06-18
